NAME,JNAME,RAJ,DECJ,GL,GB,DM,RM,DIST,NSCREENS
B0329+54,J0332+5434,03:32:59.4096,+54:34:43.329,144.995,-1.221,26.7641,-64.33,1.695,4
J0437-4715,J0437-4715,04:37:15.8961737,-47:15:09.110714,253.394,-41.963,2.64476,0.15,0.157,2
J0613-0200,J0613-0200,06:13:43.975901,-02:00:47.23742,210.413,-9.305,38.775,20.2,0.78,1
J0737-3039A,J0737-3039A,07:37:51.248419,-30:39:40.71431,245.236,-4.505,48.916,120.46,1.1,1
B0823+26,J0826+2637,08:26:51.5068,+26:37:21.297,196.964,31.743,19.47633,5.38,0.498,4
B0834+06,J0837+0610,08:37:05.642,+06:10:14.56,219.721,26.272,12.864,25.32,0.62,2
B0919+06,J0922+0638,09:22:14.022,+06:38:23.30,225.42,36.392,27.2986,29.2,1.1,2
B1133+16,J1136+1551,11:36:03.1198,+15:51:14.183,241.895,69.196,4.84066,3.97,0.372,5
J1141-6545,J1141-6545,11:41:07.0140,-65:45:19.1131,295.791,-3.863,116.08,-93.4,10,1
B1508+55,J1509+5531,15:09:25.6298,+55:31:32.394,91.325,52.287,19.6191,1.49,2.1,2
J1603-7202,J1603-7202,16:03:35.675239,-72:02:32.75811,316.63,-14.496,38.0497,30.01,0.53,1
J1643-1224,J1643-1224,16:43:38.162198,-12:24:58.6723,5.669,21.218,62.3975,-305.7,0.74,2
B1642-03,J1645-0317,16:45:02.0406,-03:17:57.819,14.114,26.062,35.7555,15.8,3.846,3
J1745-2900,J1745-2900,17:45:40.1662,-29:00:29.896,359.944,-0.047,1778,-66080,8.3,1
J1745-2912,J1745-2912,17:45:47.83043,-29:12:30.780,359.788,-0.175,1130,-535,8.109,1
J1746-2849,J1746-2849,17:46:03.35736,-28:50:13.385,0.134,-0.03,1456,10104,8.217,1
B1758-23,J1801-2304,18:01:19.81488,-23:04:44.637,6.837,-0.066,1067.85,-1124,4,1
B1809-176,J1812-1733,18:12:15.85925,-17:33:37.871,12.904,0.387,509.8,342.6,4.492,1
B1822-14,J1825-1446,18:25:02.96,-14:46:53.77,16.805,-1.001,352.23,-899,4.44,1
B1929+10,J1932+1059,19:32:14.0570,+10:59:33.38,47.382,-3.885,3.18321,-6.87,0.31,3
